string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
INTUBATION,KINKEDTUBE,ERRLOWOUTPUT,HR,HREKG,ERRCAUTER,MINVOLSET,BP,MINVOL,PVSAT,EXPCO2,HYPOVOLEMIA,SHUNT,TPR,STROKEVOLUME,DISCONNECT,LVFAILURE,HRSAT,LVEDVOLUME,FIO2,VENTLUNG,PCWP,INSUFFANESTH,CO,VENTTUBE,PRESS,PULMEMBOLUS,ARTCO2,SAO2,CATECHOL,HRBP,CVP,ANAPHYLAXIS,PAP,VENTMACH,VENTALV,HISTORY
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,FALSE,HIGH,NORMAL,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,LOW,FALSE,HIGH,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,HIGH,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,FALSE,NORMAL,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,FALSE,HIGH,LOW,LOW,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,ZERO,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,FALSE,HIGH,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,FALSE,HIGH,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,LOW,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,ZERO,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,LOW,FALSE,HIGH,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,TRUE,NORMAL,HIGH,NORMAL,FALSE,FALSE,HIGH,HIGH,NORMAL,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,HIGH,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,FALSE,HIGH,LOW,NORMAL,FALSE,NORMAL,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,ZERO,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,ZERO,LOW,LOW,FALSE,NORMAL,NORMAL,LOW,FALSE,TRUE,HIGH,LOW,NORMAL,ZERO,HIGH,FALSE,LOW,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,LOW,FALSE,NORMAL,NORMAL,ZERO,TRUE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,ZERO,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,ZERO,NORMAL,TRUE,HIGH,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,LOW,ZERO,FALSE
NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,LOW,LOW,TRUE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,HIGH,HIGH,NORMAL,ZERO,HIGH,FALSE,HIGH,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,NORMAL,FALSE,NORMAL,NORMAL,ZERO,FALSE
